,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
Return of the Living Dead II,77.0,73.0,76.0,56.0
The New Adventures of Pippi Longstocking,77.0,73.0,76.0,56.0
Eight Men Out,55.0,55.0,55.0,55.0
Stand and Deliver,79.0,76.0,63.0,55.0
Maniac Cop,81.0,68.0,73.0,56.0
Women on the Verge of a Nervous Breakdown,56.0,56.0,56.0,56.0
She's Having a Baby,77.0,73.0,76.0,56.0
Police Academy 5: Assignment: Miami Beach,66.0,76.0,66.0,56.0
Tequila Sunrise,77.0,73.0,76.0,56.0
Night of the Demons,77.0,73.0,76.0,56.0
Biloxi Blues,77.0,73.0,76.0,56.0
Shag,77.0,73.0,76.0,56.0
Cocoon: the Return,77.0,73.0,76.0,56.0
Poltergeist III,76.0,76.0,76.0,76.0
Waxwork,77.0,73.0,76.0,56.0
Funny Farm,77.0,73.0,76.0,56.0
As Tears Go By,55.0,55.0,55.0,55.0
Fright Night Part 2,77.0,73.0,76.0,56.0
Caddyshack II,66.0,76.0,66.0,56.0
School Daze,77.0,67.0,76.0,56.0
Johnny Be Good,66.0,76.0,66.0,56.0
Taffin,77.0,73.0,73.0,56.0
Short Circuit 2,77.0,73.0,76.0,56.0
The Serpent and the Rainbow,77.0,73.0,76.0,56.0
A Night in the Life of Jimmy Reardon,77.0,73.0,76.0,56.0
The Presidio,77.0,73.0,73.0,56.0
Big Business,77.0,73.0,76.0,56.0
Monkey Shines,77.0,73.0,76.0,56.0
The Seventh Sign,77.0,73.0,76.0,56.0
Time of the Gypsies,56.0,56.0,56.0,56.0
Masquerade,77.0,73.0,76.0,56.0
Phantasm II,77.0,73.0,73.0,56.0
Tucker: The Man and His Dream,79.0,76.0,65.0,56.0
Action Jackson,77.0,73.0,73.0,56.0
"Bright Lights, Big City",77.0,73.0,76.0,56.0
Shoot to Kill,77.0,73.0,73.0,56.0
The Beast of War,55.0,55.0,55.0,55.0
Lady in White,77.0,73.0,76.0,56.0
Gorillas in the Mist,79.0,76.0,63.0,55.0
Alien Nation,77.0,73.0,73.0,56.0
Betrayed,77.0,73.0,76.0,56.0
Miracle Mile,88.0,71.0,70.0,55.0
Buster,77.0,73.0,76.0,56.0
Big Top Pee-wee,77.0,73.0,76.0,56.0
For Keeps?,77.0,73.0,76.0,56.0
Appointment with Death,77.0,73.0,76.0,56.0
Some Girls,77.0,73.0,76.0,56.0
Critters 2,77.0,73.0,76.0,56.0
Dead Heat,77.0,73.0,73.0,56.0
Talk Radio,55.0,55.0,55.0,55.0
Satisfaction,66.0,76.0,66.0,56.0
The Milagro Beanfield War,77.0,73.0,76.0,58.0
18 Again!,77.0,73.0,76.0,56.0
Vice Versa,77.0,73.0,76.0,56.0
Fresh Horses,82.0,73.0,76.0,53.0
Bat*21,82.0,73.0,76.0,53.0
Casual Sex?,66.0,76.0,66.0,56.0
Jack's Back,77.0,73.0,76.0,56.0
Bird,79.0,76.0,63.0,55.0
Stealing Home,77.0,73.0,76.0,56.0
Salaam Bombay!,55.0,55.0,55.0,55.0
Young Einstein,77.0,73.0,76.0,56.0
Punchline,77.0,73.0,76.0,56.0
Return to Snowy River,77.0,73.0,76.0,56.0
Moving,77.0,73.0,76.0,56.0
And God Created Woman,66.0,76.0,66.0,56.0
High Hopes,56.0,56.0,56.0,56.0
Little Nikita,77.0,73.0,76.0,56.0
Camille Claudel,79.0,76.0,63.0,55.0
Torch Song Trilogy,56.0,56.0,56.0,56.0
Vibes,77.0,73.0,76.0,56.0
36 fillette,77.0,73.0,76.0,56.0
D.O.A.,77.0,73.0,76.0,56.0
Braddock: Missing in Action III,73.0,76.0,72.0,73.0
Red Scorpion,82.0,73.0,73.0,53.0
Drowning by Numbers,56.0,56.0,56.0,56.0
Watchers,77.0,73.0,73.0,56.0
Rocket Gibraltar,77.0,73.0,76.0,56.0
The Unholy,76.0,76.0,76.0,76.0
Not of This Earth,66.0,76.0,66.0,56.0
A New Life,77.0,73.0,76.0,56.0
1969,77.0,73.0,76.0,56.0
Arthur 2: on the Rocks,66.0,76.0,66.0,56.0
Messenger of Death,77.0,73.0,73.0,56.0
Memories of Me,82.0,73.0,76.0,53.0
Chocolat,82.0,67.0,68.0,53.0
The Couch Trip,77.0,73.0,76.0,56.0
Without a Clue,56.0,56.0,56.0,56.0
Bad Dreams,77.0,73.0,76.0,56.0
Another Woman,55.0,55.0,55.0,55.0
Paperhouse,77.0,73.0,76.0,56.0
Sunset,77.0,73.0,76.0,56.0
Cop,77.0,73.0,76.0,56.0
Pulse,77.0,76.0,76.0,56.0
Stormy Monday,77.0,73.0,76.0,56.0
Heart of Midnight,77.0,73.0,76.0,56.0
Switching Channels,82.0,73.0,76.0,53.0
Miles from Home,77.0,73.0,73.0,56.0
Clean and Sober,77.0,73.0,76.0,56.0
Crossing Delancey,77.0,73.0,76.0,56.0
Things Change,56.0,56.0,56.0,56.0
Kansas,77.0,73.0,76.0,56.0
Hot to Trot,66.0,76.0,66.0,56.0
Shakedown,77.0,73.0,73.0,56.0
976-EVIL,77.0,73.0,76.0,56.0
Pascali's Island,77.0,73.0,76.0,56.0
Everybody's All-American,77.0,73.0,76.0,56.0
Heartbreak Hotel,77.0,73.0,76.0,56.0
The Chocolate War,77.0,73.0,76.0,56.0
It Takes Two,77.0,73.0,76.0,56.0
Iron Eagle II,82.0,76.0,72.0,53.0
Party Line,76.0,76.0,76.0,76.0
The Kiss,77.0,73.0,76.0,56.0
Spellbinder,77.0,73.0,76.0,56.0
Patty Hearst,79.0,76.0,65.0,56.0
A Handful of Dust,77.0,73.0,76.0,56.0
Criminal Law,77.0,73.0,76.0,58.0
A Summer Story,55.0,55.0,55.0,55.0
Platoon Leader,77.0,73.0,76.0,56.0
The Girl in a Swing,77.0,73.0,76.0,56.0
Permanent Record,77.0,73.0,76.0,56.0
Hero and the Terror,77.0,73.0,73.0,56.0
Illegally Yours,66.0,76.0,66.0,56.0
Track 29,77.0,73.0,76.0,56.0
"Distant Voices, Still Lives",55.0,55.0,55.0,55.0
Ernest Saves Christmas,77.0,73.0,76.0,56.0
Feds,77.0,73.0,76.0,56.0
Moon Over Parador,77.0,73.0,76.0,56.0
Salome's Last Dance,79.0,76.0,65.0,56.0
Off Limits,77.0,73.0,73.0,56.0
Tapeheads,77.0,73.0,76.0,56.0
Apartment Zero,55.0,55.0,55.0,55.0
The Good Mother,77.0,73.0,76.0,56.0
Indiana Jones and the Last Crusade,80.0,72.0,72.0,60.0
Road House,75.0,72.0,72.0,57.0
Batman,80.0,72.0,72.0,60.0
Bill & Ted's Excellent Adventure,75.0,72.0,69.0,60.0
Field of Dreams,75.0,72.0,69.0,60.0
Dead Poets Society,75.0,72.0,69.0,59.0
The Little Mermaid,79.0,70.0,68.0,54.0
The Abyss,75.0,72.0,69.0,60.0
Back to the Future Part II,75.0,72.0,69.0,60.0
Do the Right Thing,75.0,72.0,69.0,59.0
"Honey, I Shrunk the Kids",75.0,72.0,76.0,60.0
Turner & Hooch,75.0,72.0,76.0,59.0
Weekend at Bernie's,75.0,72.0,76.0,60.0
The Karate Kid Part III,75.0,72.0,73.0,60.0
"Sex, Lies, and Videotape",75.0,72.0,69.0,60.0
When Harry Met Sally...,75.0,72.0,69.0,59.0
Major League,75.0,72.0,69.0,59.0
Steel Magnolias,75.0,72.0,69.0,59.0
Pet Sematary,75.0,72.0,76.0,60.0
Uncle Buck,75.0,72.0,69.0,59.0
Ghostbusters II,75.0,72.0,73.0,60.0
Tango & Cash,75.0,72.0,73.0,60.0
Born on the Fourth of July,76.0,73.0,63.0,60.0
Glory,76.0,73.0,63.0,60.0
Parenthood,75.0,72.0,69.0,59.0
Lethal Weapon 2,80.0,72.0,72.0,57.0
National Lampoon's Christmas Vacation,75.0,72.0,69.0,59.0
The 'Burbs,75.0,72.0,76.0,59.0
Say Anything,75.0,72.0,69.0,59.0
License to Kill,75.0,72.0,73.0,60.0
Shirley Valentine,75.0,72.0,69.0,59.0
Harlem Nights,75.0,72.0,76.0,59.0
Lock Up,75.0,72.0,73.0,60.0
"The Cook, the Thief, His Wife & Her Lover",75.0,72.0,69.0,60.0
Warlock,75.0,72.0,73.0,60.0
"See No Evil, Hear No Evil",75.0,72.0,76.0,59.0
Casualties of War,80.0,72.0,72.0,60.0
The Package,75.0,72.0,73.0,60.0
My Left Foot,76.0,73.0,63.0,60.0
The War of the Roses,75.0,72.0,76.0,59.0
Wild Orchid,79.0,73.0,72.0,56.0
Little Monsters,75.0,72.0,76.0,60.0
The Wizard,75.0,72.0,76.0,60.0
UHF,75.0,72.0,69.0,59.0
Look Who's Talking,75.0,72.0,76.0,59.0
Star Trek V: The Final Frontier,75.0,72.0,73.0,60.0
Tie Me Up! Tie Me Down!,75.0,72.0,69.0,59.0
All Dogs Go to Heaven,75.0,72.0,69.0,54.0
Cyborg,75.0,72.0,73.0,60.0
Always,75.0,72.0,76.0,60.0
Leviathan,75.0,72.0,76.0,59.0
Best of the Best,75.0,72.0,73.0,60.0
Dead Calm,75.0,72.0,76.0,60.0
Kickboxer,75.0,72.0,73.0,60.0
Black Rain,75.0,72.0,73.0,60.0
Troop Beverly Hills,79.0,72.0,76.0,56.0
Driving Miss Daisy,75.0,72.0,69.0,60.0
Drugstore Cowboy,75.0,72.0,69.0,60.0
A Nightmare on Elm Street 5: The Dream Child,75.0,72.0,76.0,60.0
Dream a Little Dream,75.0,72.0,72.0,57.0
Halloween 5: The Revenge of Michael Myers,75.0,72.0,76.0,60.0
DeepStar Six,75.0,72.0,73.0,60.0
Sea of Love,75.0,72.0,76.0,60.0
Skin Deep,75.0,72.0,76.0,59.0
K-9,75.0,72.0,73.0,60.0
Lean on Me,75.0,72.0,69.0,60.0
Henry V,80.0,72.0,72.0,60.0
She's Out of Control,75.0,72.0,76.0,59.0
Friday the 13th Part VIII: Jason Takes Manhattan,75.0,73.0,69.0,60.0
Teen Witch,75.0,72.0,76.0,59.0
Valmont,75.0,72.0,69.0,60.0
Scandal,75.0,72.0,76.0,60.0
The Fabulous Baker Boys,75.0,72.0,72.0,57.0
Shocker,75.0,72.0,76.0,59.0
Next of Kin,75.0,72.0,73.0,60.0
The Fly II,79.0,72.0,76.0,56.0
She-Devil,75.0,72.0,76.0,59.0
Mystery Train,75.0,72.0,69.0,59.0
Blaze,76.0,73.0,65.0,60.0
The Rainbow,75.0,72.0,73.0,60.0
Gleaming the Cube,79.0,72.0,73.0,56.0
Fletch Lives,75.0,72.0,76.0,59.0
Communion,76.0,73.0,65.0,60.0
Erik the Viking,75.0,72.0,76.0,59.0
Crimes and Misdemeanors,75.0,72.0,69.0,59.0
An Innocent Man,75.0,72.0,73.0,60.0
Let It Ride,75.0,72.0,76.0,59.0
Loverboy,75.0,72.0,76.0,59.0
Kill Me Again,75.0,72.0,73.0,60.0
The Gods Must Be Crazy II,75.0,72.0,76.0,59.0
Millennium,75.0,72.0,76.0,60.0
Chances Are,75.0,72.0,76.0,59.0
The Dream Team,75.0,72.0,76.0,59.0
Last Exit to Brooklyn,75.0,72.0,76.0,60.0
Little Nemo: Adventures in Slumberland,79.0,69.0,68.0,54.0
Kinjite: Forbidden Subjects,75.0,72.0,73.0,60.0
Great Balls of Fire!,76.0,73.0,65.0,60.0
New York Stories,75.0,72.0,76.0,59.0
Cousins,75.0,72.0,76.0,59.0
Blind Fury,75.0,72.0,73.0,60.0
The Return of Swamp Thing,75.0,73.0,72.0,60.0
The January Man,75.0,72.0,73.0,60.0
We're No Angels,75.0,72.0,76.0,59.0
Johnny Handsome,75.0,72.0,76.0,60.0
Who's Harry Crumb?,75.0,72.0,76.0,59.0
The Mighty Quinn,75.0,72.0,73.0,60.0
Fat Man and Little Boy,76.0,73.0,65.0,60.0
Police Academy 6: City Under Siege,75.0,73.0,69.0,60.0
Her Alibi,75.0,72.0,76.0,59.0
The Blood of Heroes,75.0,72.0,73.0,60.0
Pink Cadillac,75.0,72.0,73.0,60.0
Three Fugitives,75.0,72.0,73.0,60.0
Robot Jox,79.0,69.0,73.0,60.0
No Holds Barred,75.0,73.0,72.0,60.0
Family Business,75.0,72.0,76.0,60.0
Wicked Stepmother,75.0,73.0,69.0,60.0
Chattahoochee,76.0,73.0,65.0,60.0
Stepfather II: Make Room for Daddy,75.0,72.0,76.0,60.0
Eddie and the Cruisers II: Eddie Lives!,75.0,72.0,76.0,60.0
The Big Picture,75.0,72.0,76.0,59.0
Parents,75.0,72.0,76.0,59.0
Jacknife,75.0,72.0,76.0,60.0
Dad,75.0,72.0,76.0,59.0
Speed Zone,75.0,73.0,72.0,60.0
How to Get Ahead in Advertising,75.0,72.0,76.0,59.0
Lisa,75.0,72.0,76.0,60.0
Out Cold,75.0,72.0,76.0,59.0
Longtime Companion,75.0,72.0,69.0,60.0
Happily Ever After,75.0,72.0,69.0,54.0
Heart of Dixie,75.0,72.0,76.0,60.0
Tap,75.0,72.0,76.0,59.0
A Dry White Season,75.0,72.0,69.0,60.0
The Phantom of the Opera,78.0,72.0,81.0,59.0
The Experts,75.0,73.0,69.0,60.0
Triumph of the Spirit,76.0,73.0,65.0,60.0
The Unbelievable Truth,75.0,72.0,69.0,59.0
True Believer,75.0,72.0,76.0,60.0
The Horror Show,75.0,73.0,69.0,60.0
The Tall Guy,75.0,72.0,76.0,59.0
The Toxic Avenger Part II,75.0,72.0,73.0,60.0
Dead Bang,75.0,72.0,73.0,60.0
Music Box,75.0,72.0,69.0,60.0
Gross Anatomy,75.0,72.0,76.0,60.0
Violent Cop,80.0,72.0,72.0,60.0
Renegades,75.0,72.0,73.0,60.0
Sing,75.0,72.0,69.0,54.0
Sweetie,75.0,72.0,76.0,59.0
Listen to Me,75.0,72.0,76.0,60.0
Miss Firecracker,75.0,72.0,76.0,59.0
The Rachel Papers,75.0,72.0,76.0,60.0
Wired,76.0,74.0,63.0,60.0
Lost Angels,75.0,72.0,76.0,60.0
Jesus of Montreal,75.0,72.0,69.0,60.0
Rooftops,75.0,73.0,72.0,60.0
After Midnight,75.0,72.0,76.0,60.0
Disorganized Crime,75.0,72.0,73.0,60.0
Slaves of New York,75.0,72.0,76.0,59.0
Damned River,75.0,73.0,72.0,60.0
My Twentieth Century,74.0,73.0,67.0,59.0
Scenes from the Class Struggle in Beverly Hills,75.0,72.0,76.0,59.0
The Terror Within,75.0,73.0,69.0,60.0
Farewell to the King,75.0,72.0,73.0,59.0
See You in the Morning,75.0,72.0,76.0,60.0
"I, Madman",75.0,72.0,76.0,60.0
Immediate Family,75.0,72.0,76.0,60.0
In Country,75.0,72.0,76.0,60.0
Winter People,75.0,72.0,76.0,60.0
"Enemies, A Love Story",75.0,72.0,76.0,59.0
American Ninja 3: Blood Hunt,75.0,73.0,72.0,60.0
Physical Evidence,75.0,72.0,76.0,60.0
Worth Winning,75.0,72.0,76.0,59.0
Edge of Sanity,79.0,69.0,76.0,60.0
Brenda Starr,75.0,73.0,69.0,60.0
How I Got Into College,75.0,72.0,76.0,59.0
Mortal Passions,75.0,73.0,69.0,60.0
Old Gringo,75.0,72.0,76.0,60.0
Relentless,75.0,72.0,76.0,60.0
Cheetah,75.0,72.0,76.0,60.0
Monsieur Hire,75.0,72.0,69.0,60.0
Prancer,75.0,72.0,76.0,60.0
Too Beautiful for You,75.0,72.0,76.0,59.0
Getting It Right,75.0,72.0,76.0,59.0
Rude Awakening,75.0,73.0,69.0,60.0
Cookie,75.0,72.0,76.0,59.0
Bloodhounds of Broadway,75.0,72.0,76.0,59.0
The Toxic Avenger Part III: The Last Temptation of Toxie,75.0,73.0,72.0,60.0
River of Death,75.0,73.0,72.0,60.0
Staying Together,75.0,72.0,76.0,59.0
Fast Food,75.0,73.0,69.0,60.0
Martians Go Home,75.0,73.0,69.0,60.0
Night Game,75.0,73.0,69.0,60.0
Romero,76.0,73.0,63.0,60.0
84C MoPic,75.0,72.0,76.0,60.0
Rosalie Goes Shopping,75.0,72.0,76.0,59.0
True Love,75.0,72.0,76.0,59.0
Second Sight,75.0,73.0,69.0,60.0
A Chorus of Disapproval,75.0,72.0,76.0,59.0
The Lemon Sisters,75.0,73.0,69.0,60.0
Breaking In,75.0,72.0,76.0,60.0
Crack House,75.0,72.0,73.0,60.0
Goodfellas,79.0,76.0,63.0,55.0
The Godfather: Part III,55.0,55.0,55.0,55.0
Total Recall,87.0,73.0,73.0,55.0
Pretty Woman,56.0,56.0,56.0,56.0
Home Alone,56.0,56.0,56.0,56.0
Ghost,55.0,55.0,55.0,55.0
Dances with Wolves,55.0,55.0,55.0,55.0
Tremors,56.0,56.0,56.0,56.0
Die Hard 2,88.0,72.0,72.0,55.0
Misery,55.0,55.0,55.0,55.0
Kindergarten Cop,77.0,73.0,73.0,56.0
The Bonfire of the Vanities,77.0,73.0,76.0,56.0
Teenage Mutant Ninja Turtles,77.0,73.0,73.0,56.0
Edward Scissorhands,82.0,69.0,69.0,53.0
The Hunt for Red October,88.0,72.0,72.0,55.0
Dick Tracy,82.0,73.0,73.0,53.0
Awakenings,79.0,68.0,63.0,55.0
The Handmaid's Tale,77.0,73.0,76.0,56.0
Wild at Heart,56.0,56.0,56.0,56.0
Predator 2,77.0,73.0,73.0,56.0
RoboCop 2,77.0,73.0,73.0,58.0
The Witches,77.0,73.0,76.0,56.0
Jacob's Ladder,55.0,55.0,55.0,55.0
Back to the Future Part III,55.0,55.0,55.0,55.0
Darkman,77.0,73.0,73.0,56.0
The Hot Spot,77.0,73.0,76.0,56.0
Cry-Baby,81.0,68.0,76.0,56.0
Presumed Innocent,77.0,73.0,76.0,56.0
Arachnophobia,77.0,73.0,76.0,56.0
Days of Thunder,77.0,73.0,73.0,56.0
King of New York,55.0,55.0,55.0,55.0
Gremlins 2: The New Batch,77.0,73.0,76.0,56.0
Rocky V,77.0,73.0,76.0,56.0
Young Guns II,77.0,73.0,73.0,56.0
Miller's Crossing,55.0,55.0,55.0,55.0
Revenge,77.0,73.0,73.0,56.0
Lord of the Flies,77.0,73.0,76.0,56.0
Nikita,88.0,73.0,72.0,58.0
Mermaids,77.0,73.0,76.0,56.0
Child's Play 2,77.0,73.0,76.0,56.0
Joe Versus the Volcano,77.0,73.0,76.0,56.0
Slacker,56.0,56.0,56.0,56.0
Flatliners,77.0,73.0,76.0,56.0
Days of Being Wild,55.0,55.0,55.0,55.0
The Exorcist III,77.0,73.0,76.0,56.0
Quigley Down Under,77.0,73.0,73.0,56.0
Nightbreed,77.0,73.0,73.0,56.0
The Two Jakes,77.0,73.0,76.0,56.0
Lionheart,77.0,73.0,73.0,56.0
Internal Affairs,77.0,73.0,76.0,56.0
Three Men and a Little Lady,77.0,73.0,76.0,56.0
Problem Child,77.0,73.0,76.0,56.0
The Grifters,77.0,73.0,76.0,56.0
My Blue Heaven,77.0,73.0,76.0,56.0
The Rescuers Down Under,77.0,73.0,69.0,46.0
House Party,77.0,73.0,76.0,56.0
Another 48 Hrs.,77.0,73.0,73.0,56.0
Night of the Living Dead,77.0,73.0,76.0,56.0
Pacific Heights,77.0,73.0,76.0,56.0
Postcards from the Edge,77.0,73.0,76.0,56.0
Henry & June,79.0,76.0,65.0,56.0
Hard to Kill,77.0,73.0,73.0,56.0
Pump Up the Volume,56.0,56.0,56.0,56.0
Hamlet,77.0,73.0,76.0,55.0
The NeverEnding Story II: The Next Chapter,77.0,73.0,76.0,56.0
Men at Work,77.0,73.0,73.0,56.0
Leatherface: Texas Chainsaw Massacre III,81.0,68.0,76.0,56.0
Reversal of Fortune,79.0,76.0,63.0,55.0
Frankenhooker,81.0,68.0,76.0,56.0
State of Grace,88.0,72.0,72.0,55.0
Bird on a Wire,77.0,73.0,73.0,56.0
Memphis Belle,77.0,73.0,73.0,56.0
The Adventures of Ford Fairlane,77.0,73.0,73.0,56.0
Marked for Death,77.0,73.0,73.0,56.0
Slumber Party Massacre III,67.0,76.0,70.0,56.0
Dreams,55.0,55.0,55.0,55.0
Air America,77.0,73.0,73.0,56.0
I Love You to Death,77.0,73.0,76.0,56.0
Class of 1999,77.0,73.0,73.0,56.0
Death Warrant,77.0,73.0,73.0,56.0
White Palace,77.0,73.0,76.0,56.0
Close-Up,79.0,76.0,63.0,55.0
Quick Change,77.0,73.0,76.0,56.0
Hardware,76.0,68.0,68.0,41.0
Mr. Destiny,77.0,73.0,76.0,56.0
The Freshman,77.0,73.0,76.0,56.0
Blue Steel,77.0,73.0,73.0,56.0
The Krays,79.0,76.0,65.0,56.0
Navy Seals,77.0,73.0,73.0,56.0
Graveyard Shift,76.0,76.0,76.0,76.0
The Sheltering Sky,77.0,73.0,76.0,56.0
Dark Angel,77.0,73.0,73.0,56.0
The Comfort of Strangers,77.0,73.0,76.0,56.0
Mo' Better Blues,77.0,73.0,76.0,56.0
"Welcome Home, Roxy Carmichael",77.0,73.0,76.0,56.0
Bad Influence,77.0,73.0,76.0,56.0
Look Who's Talking Too,66.0,76.0,66.0,56.0
Rosencrantz & Guildenstern Are Dead,58.0,58.0,58.0,58.0
Tales from the Darkside: The Movie,77.0,73.0,76.0,56.0
The Rookie,77.0,77.0,73.0,56.0
Green Card,77.0,73.0,76.0,56.0
Metropolitan,56.0,56.0,56.0,56.0
Europa Europa,55.0,55.0,55.0,55.0
Cyrano de Bergerac,56.0,56.0,56.0,56.0
Almost an Angel,77.0,73.0,76.0,56.0
Everybody Wins,77.0,73.0,76.0,56.0
Truly Madly Deeply,56.0,56.0,56.0,56.0
Havana,77.0,73.0,76.0,56.0
DuckTales the Movie: Treasure of the Lost Lamp,78.0,73.0,69.0,54.0
The Russia House,77.0,73.0,76.0,56.0
Life Is Sweet,56.0,56.0,56.0,56.0
Jetsons: The Movie,77.0,73.0,69.0,46.0
White Hunter Black Heart,77.0,73.0,76.0,56.0
Avalon,55.0,55.0,55.0,55.0
Narrow Margin,77.0,73.0,73.0,56.0
Cadillac Man,77.0,73.0,76.0,56.0
Taking Care of Business,77.0,73.0,76.0,56.0
Texasville,77.0,73.0,76.0,56.0
The Guardian,81.0,71.0,73.0,56.0
Repossessed,66.0,76.0,66.0,56.0
Fire Birds,81.0,69.0,72.0,74.0
Miami Blues,77.0,73.0,76.0,56.0
The Field,55.0,55.0,55.0,55.0
"After Dark, My Sweet",77.0,73.0,72.0,55.0
Alice,77.0,73.0,76.0,56.0
Side Out,77.0,73.0,76.0,56.0
The First Power,77.0,73.0,76.0,56.0
Delta Force 2: the Colombian Connection,73.0,76.0,72.0,73.0
Desperate Hours,82.0,73.0,73.0,53.0
Ju Dou,78.0,69.0,69.0,51.0
Cadence,77.0,73.0,76.0,56.0
Brain Dead,81.0,68.0,76.0,56.0
The Hairdresser's Husband,56.0,56.0,56.0,56.0
Ernest Goes to Jail,77.0,73.0,76.0,56.0
Madhouse,77.0,73.0,76.0,56.0
A Cry in the Wild,77.0,73.0,73.0,56.0
The Long Walk Home,55.0,55.0,55.0,55.0
Mountains of the Moon,55.0,55.0,55.0,55.0
Two Evil Eyes,77.0,73.0,76.0,56.0
Mr. & Mrs. Bridge,77.0,73.0,76.0,56.0
Trust,77.0,73.0,76.0,56.0
Crazy People,77.0,73.0,76.0,56.0
A Shock to the System,77.0,73.0,76.0,56.0
The Boyfriend School,77.0,73.0,76.0,56.0
Roger Corman's Frankenstein Unbound,81.0,68.0,76.0,56.0
Nuns on the Run,77.0,73.0,76.0,56.0
Q&A,77.0,73.0,76.0,56.0
An Angel at My Table,79.0,76.0,63.0,55.0
Stanley & Iris,77.0,73.0,76.0,56.0
Flashback,77.0,73.0,73.0,56.0
Men Don't Leave,77.0,73.0,76.0,56.0
Ski Patrol,77.0,73.0,73.0,56.0
Ghost Dad,66.0,76.0,66.0,56.0
Book of Love,77.0,73.0,76.0,56.0
Hidden Agenda,77.0,73.0,76.0,56.0
Everybody's Fine,55.0,55.0,55.0,55.0
Spaced Invaders,77.0,73.0,76.0,56.0
Meet the Applegates,77.0,73.0,76.0,56.0
Betsy's Wedding,77.0,73.0,76.0,56.0
Def by Temptation,76.0,76.0,76.0,76.0
Heart Condition,77.0,73.0,76.0,56.0
My Father's Glory,82.0,69.0,69.0,53.0
Vincent & Theo,79.0,76.0,65.0,56.0
Streets,81.0,68.0,73.0,56.0
Stella,77.0,73.0,76.0,56.0
The Forbidden Dance,76.0,76.0,76.0,76.0
Loose Cannons,73.0,76.0,72.0,73.0
A Tale of Springtime,56.0,56.0,56.0,56.0
To Sleep with Anger,55.0,55.0,55.0,55.0
Where the Heart Is,77.0,73.0,76.0,56.0
Love at Large,77.0,73.0,76.0,56.0
Boiling Point,78.0,76.0,77.0,61.0
Downtown,77.0,73.0,73.0,56.0
Short Time,77.0,73.0,76.0,56.0
American Ninja 4: The Annihilation,73.0,76.0,72.0,73.0
Gate 2: The Trespassers,76.0,76.0,76.0,76.0
Come See the Paradise,77.0,73.0,76.0,56.0
The Garden,77.0,73.0,76.0,56.0
Lambada,76.0,76.0,76.0,76.0
The Shrimp on the Barbie,77.0,73.0,76.0,56.0
May Fools,56.0,56.0,56.0,56.0
The Last of the Finest,77.0,73.0,73.0,56.0
Strangers in Good Company,55.0,55.0,55.0,55.0
Opportunity Knocks,77.0,73.0,76.0,56.0
Funny About Love,66.0,76.0,66.0,56.0
Graffiti Bridge,76.0,76.0,76.0,76.0
Coupe de Ville,77.0,73.0,76.0,56.0
Sibling Rivalry,77.0,73.0,70.0,56.0
Vital Signs,77.0,73.0,76.0,56.0
Body Chemistry,76.0,76.0,76.0,76.0
The Haunting of Morella,76.0,76.0,76.0,76.0
The Fourth War,77.0,73.0,76.0,56.0
Tune in Tomorrow...,77.0,73.0,76.0,56.0
La discrète,55.0,55.0,55.0,55.0
Heaven and Earth,88.0,72.0,72.0,55.0
Crossing the Line,77.0,73.0,76.0,56.0
Mindwalk,55.0,55.0,55.0,55.0
The Nasty Girl,56.0,56.0,56.0,56.0
Archangel,77.0,73.0,76.0,56.0
Terminator 2: Judgment Day,81.0,69.0,72.0,55.0
Point Break,81.0,73.0,72.0,55.0
The Silence of the Lambs,77.0,69.0,69.0,55.0
Hook,77.0,73.0,76.0,56.0
Boyz n the Hood,77.0,69.0,69.0,55.0
Cape Fear,77.0,69.0,69.0,55.0
Career Opportunities,77.0,73.0,76.0,56.0
The Addams Family,77.0,73.0,69.0,47.0
Thelma & Louise,77.0,69.0,69.0,55.0
Y Tu Mamá También,77.0,69.0,69.0,55.0
Robin Hood: Prince of Thieves,77.0,73.0,73.0,56.0
The Doors,78.0,76.0,63.0,55.0
Beauty and the Beast,77.0,67.0,68.0,46.0
Fried Green Tomatoes,77.0,69.0,69.0,55.0
JFK,77.0,69.0,69.0,55.0
The Rocketeer,77.0,73.0,73.0,56.0
My Girl,77.0,73.0,76.0,56.0
Backdraft,77.0,73.0,73.0,56.0
Bill & Ted's Bogus Journey,77.0,73.0,76.0,56.0
Father of the Bride,79.0,73.0,76.0,53.0
City Slickers,77.0,73.0,76.0,56.0
Don't Tell Mom the Babysitter's Dead,77.0,73.0,76.0,56.0
The Fisher King,77.0,69.0,69.0,56.0
Sex and Zen,77.0,73.0,76.0,56.0
Sleeping with the Enemy,77.0,73.0,76.0,56.0
The Beautiful Troublemaker,77.0,69.0,69.0,55.0
Return to the Blue Lagoon,77.0,73.0,76.0,56.0
The Last Boy Scout,81.0,71.0,72.0,53.0
Star Trek VI: The Undiscovered Country,81.0,69.0,72.0,55.0
My Own Private Idaho,77.0,69.0,69.0,55.0
Drop Dead Fred,77.0,73.0,76.0,56.0
Hot Shots!,81.0,73.0,73.0,68.0
Hudson Hawk,77.0,73.0,73.0,56.0
The Prince of Tides,77.0,73.0,76.0,56.0
Barton Fink,77.0,69.0,69.0,56.0
